Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
Bairdiella chrysoura,Silver perch,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Bathytoshia centroura,Roughtail stingray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,Not for IDW
Brevoortia smithi,Yellowfin menhaden,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,NA,NA,Not for IDW
Brevoortia tyrannus,Atlantic menhaden,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Calamus leucosteus,Whitebone porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Not for IDW
Calappa flammea,Flame box crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Callinectes ornatus,Shelling crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Cancer irroratus,Atlantic rock crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Caranx crysos,Blue runner,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Caranx hippos,Crevalle jack,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,Not for IDW
Carcharhinus acronotus,Blacknose shark,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Not for IDW
Carcharhinus brevipinna,Spinner shark,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Not for IDW
Carcharhinus limbatus,Blacktip shark,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Not for IDW
Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Chaetodipterus faber,Atlantic spadefish,Acanthuriformes (Surgeonfishes),US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Cynoscion nebulosus,Spotted weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,Not for IDW
Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Decapterus punctatus,Round scad,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,Not for IDW
Diplectrum formosum,Sand perch,Perciformes/Serranoidei (Groupers),US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Not for IDW
Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Echeneis naucrates,Sharksucker,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,Not for IDW
Etropus crossotus,Fringed flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Etropus cyclosquamus,Shelf flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Etrumeus sadina,Round herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,NA,NA,Not for IDW
Eucinostomus spp.,Mojarras,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Gibbesia neglecta,Lesser mantis shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Gobiosoma bosc,Naked goby,Gobiiformes (Gobies),US East Coast,Southeast US,NA,NA,Not for IDW
Gymnachirus melas,Naked sole,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Gymnura altavela,Spiny butterfly ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,Not for IDW
Gymnura micrura,Smooth butterfly ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Haemulon aurolineatum,Tomtate grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Not for IDW
Harengula jaguana,Scaled sardine,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hepatus epheliticus,Calico box crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hippocampus erectus,Lined seahorse,Syngnathiformes (Seahorses),US East Coast,Southeast US,NA,NA,Not for IDW
Hypanus americanus,Southern stingray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hypanus sabinus,Atlantic stingray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hypanus say,Bluntnose stingray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Hypleurochilus geminatus,Crested blenny,Blenniiformes (Blennies),US East Coast,Southeast US,NA,NA,Not for IDW
Lagocephalus laevigatus,Smooth puffer,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast US,NA,NA,Not for IDW
Lagodon rhomboides,Pinfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Larimus fasciatus,Banded drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Leiostomus xanthurus,Spot,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Limulus polyphemus,Horseshoe crab,Xiphosura (horseshoe crabs),US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,Not for IDW
Lolliguncula brevis,Atlantic brief squid,"Cephalopoda (squid, octopus)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Lutjanus campechanus,Red snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Not for IDW
Lutjanus synagris,Lane snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Not for IDW
Menippe mercenaria,Florida stone crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Menticirrhus americanus,Southern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Menticirrhus littoralis,Gulf kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Menticirrhus saxatilis,Northern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,Not for IDW
Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Mobula hypostoma,Devil ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,Not for IDW
Mugil curema,White mullet,Mugiliformes (Mullets),US East Coast,Southeast US,NA,NA,Not for IDW
Mustelus canis,Smooth dogfish,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Not for IDW
Myliobatis freminvillei,Bullnose eagle ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Narcine brasiliensis,Brazilian electric ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,Not for IDW
Octopus vulgaris,Common octopus,"Cephalopoda (squid, octopus)",US East Coast,Southeast US,NA,NA,Not for IDW
Ogcocephalus cubifrons,NA,Lophiiformes (Anglerfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Ogcocephalus rostellum,Palefin batfish,Lophiiformes (Anglerfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Oligoplites saurus,Leatherjacket,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,Not for IDW
Ophidion marginatum,Striped cusk-eel,Ophidiiformes (Cusk eels),US East Coast,Southeast US,NA,NA,Not for IDW
Opisthonema oglinum,Atlantic thread herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Opsanus tau,Oyster toadfish,Batrachoidiformes (Toadfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Orthopristis chrysoptera,Pigfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Ovalipes ocellatus,Ocellate lady crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Ovalipes stephensoni,Coarsehand lady crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Pagurus longicarpus,Longwrist hermit crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Pagurus pollicaris,Gray hermit crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Paralichthys albigutta,Gulf flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,ASMFC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Paralichthys dentatus,Summer flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,MAFMC,"Summer Flounder, Scup and Black Sea Bass",NMFS/Rutgers IDW Interpolation
Paralichthys lethostigma,Southern flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Paralichthys squamilentus,Broad flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Penaeus aztecus,Brown shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,SAFMC,Shrimp Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Penaeus duorarum,Pink shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,SAFMC,Shrimp Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Penaeus setiferus,Northern white shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,SAFMC,Shrimp Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Peprilus paru,Harvestfish,Scombriformes (Mackerels),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Peprilus triacanthus,American butterfish,Scombriformes (Mackerels),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Persephona mediterranea,Mottled purse crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Petrochirus diogenes,Giant hermit,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Pilumnus sayi,Spineback hairy crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Pogonias cromis,Black drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,Not for IDW
Pomatomus saltatrix,Bluefish,Scombriformes (Mackerels),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Porcellana sigsbeiana,Striped porcelain crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Porichthys plectrodon,Atlantic midshipman,Batrachoidiformes (Toadfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Portunus sayi,Sargassum swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Prionotus carolinus,Northern searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus evolans,Striped searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus rubio,Blackwing searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus scitulus,Leopard searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus tribulus,Bighead searobin,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Pseudobatos lentiginosus,Atlantic guitarfish,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,Not for IDW
Rachycentron canadum,Cobia,Carangiformes (Jacks),US East Coast,Southeast US,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Not for IDW
Rhinoptera bonasus,Cownose ray,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,NMFS/Rutgers IDW Interpolation
Rimapenaeus constrictus,Roughneck shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,Not for IDW
Rostroraja eglanteria,Clearnose skate,"Elasmobranchii: Batoidea (skates, rays)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Sardinella aurita,Spanish sardine,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast US,NA,NA,Not for IDW
Scomberomorus cavalla,King mackerel,Scombriformes (Mackerels),US East Coast,Southeast US,GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,NMFS/Rutgers IDW Interpolation
Scomberomorus cavalla,King mackerel,Scombriformes (Mackerels),US East Coast,Southeast US,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,NMFS/Rutgers IDW Interpolation
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Southeast US,ASMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Southeast US,GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,NMFS/Rutgers IDW Interpolation
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Southeast US,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,NMFS/Rutgers IDW Interpolation
Scophthalmus aquosus,Windowpane flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Selene setapinnis,Atlantic moonfish,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Selene vomer,Lookdown,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Sicyonia brevirostris,Brown rock shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,SAFMC,Shrimp Fishery of the South Atlantic Region,Not for IDW
Sphoeroides maculatus,Northern puffer,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Sphyraena guachancho,Guachanche barracuda,"Carangaria/misc (barracuda, threadfins)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Sphyrna lewini,Scalloped hammerhead,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Not for IDW
Sphyrna tiburo,Bonnethead,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,NMFS/Rutgers IDW Interpolation
Squalus acanthias,Spiny dogfish,Elasmobranchii: Selachii (sharks),US East Coast,Southeast US,NA,NA,Not for IDW
Squilla empusa,Mantis shrimp,Stomatopoda (mantis shrimp),US East Coast,Southeast US,SAFMC,Shrimp Fishery of the South Atlantic Region,NMFS/Rutgers IDW Interpolation
Stellifer lanceolatus,Star drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Stephanolepis hispida,Planehead filefish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Stomolophus meleagris,Cannonball jellyfish,"Cnidaria (jellyfish, corals, anenomes)",US East Coast,Southeast US,NA,NA,Not for IDW
Syacium papillosum,Dusky flounder,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Symphurus plagiusa,Blackcheek tonguefish,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Syngnathus louisianae,Chain pipefish,Syngnathiformes (Seahorses),US East Coast,Southeast US,NA,NA,Not for IDW
Synodus foetens,Inshore lizardfish,"Aulopiformes (Grinners, lizardfish)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Trachinotus carolinus,Florida pompano,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Trachurus lathami,Rough scad,Carangiformes (Jacks),US East Coast,Southeast US,NA,NA,Not for IDW
Trichiurus lepturus,Atlantic cutlassfish,Scombriformes (Mackerels),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Trinectes maculatus,Hogchoker,Pleuronectiformes (Flatfishes),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Upeneus parvus,Dwarf goatfish,Mulliformes (Goatfishes),US East Coast,Southeast US,NA,NA,Not for IDW
Urophycis earllii,Carolina hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Southeast US,NA,NA,Not for IDW
Urophycis floridana,Southern hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Southeast US,NA,NA,Not for IDW
Urophycis regia,Spotted hake,"Gadiformes (Cods, genadiers, pollock)",US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Xiphopenaeus kroyeri,Atlantic seabob,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast US,NA,NA,NMFS/Rutgers IDW Interpolation
Actinauge verrillii,Reticulate anemone,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Actinostola faeculenta,Hobnail vase anemone,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Albatrossia pectoralis,Giant grenadier,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Alepocephalus tenebrosus,California slickhead,Alepocephaliformes (Slickheads and tubeshoulders.),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Alosa sapidissima,American shad,"Clupeiformes (Herrings, anchovy, shad)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Ampheraster marianus,Mariana's island star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Anthopleura xanthogrammica,Giant green anemone,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,Not for IDW
Anthoptilum grandiflorum,Feather boa sea pen,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Antimora microlepis,Finescale mora,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Aphrocallistes vastus,Cloud sponge,Porifera (sponges),US West Coast,West Coast,NA,NA,Not for IDW
Apostichopus californicus,Giant california sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Apostichopus leukothele,White-knobbed sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Apristurus brunneus,Brown catshark,Elasmobranchii: Selachii (sharks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Argentina sialis,Pacific argentine,Argentiniformes (marine smelts),US West Coast,West Coast,NA,NA,Not for IDW
Astropecten californicus,California sand star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Atheresthes stomias,Arrowtooth flounder,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Bathyagonus nigripinnis,Blackfin poacher,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,NA,NA,Not for IDW
Bathybembix bairdii,NA,Gastropoda (sea snails and slugs),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Bathyraja spp.,Skate complex,"Elasmobranchii: Batoidea (skates, rays)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Beringraja binoculata,Big skate,"Elasmobranchii: Batoidea (skates, rays)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Beringraja inornata,California skate,"Elasmobranchii: Batoidea (skates, rays)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Beringraja rhina,Longnose skate,"Elasmobranchii: Batoidea (skates, rays)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Beringraja stellulata,Starry skate,"Elasmobranchii: Batoidea (skates, rays)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,Not for IDW
Bothrocara brunneum,Twoline eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Brisaster latifrons,Northern heart urchin,"Echinoidea (sea urchins, sand dollars)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Brissopsis pacifica,Pacific heart urchin,"Echinoidea (sea urchins, sand dollars)",US West Coast,West Coast,NA,NA,Not for IDW
Cancer productus,Red rock crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,Not for IDW
Careproctus melanurus,Blacktail snailfish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Chauliodus macouni,Pacific viperfish,Stomiiformes (Lightfishes and dragonfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Chilara taylori,Spotted cusk-eel,Ophidiiformes (Cusk eels),US West Coast,West Coast,NA,NA,Not for IDW
Chionoecetes tanneri,Grooved tanner crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Chorilia longipes,Longhorn decorator crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Citharichthys sordidus,Pacific sanddab,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Coryphaenoides acrolepis,Pacific grenadier,"Gadiformes (Cods, genadiers, pollock)",US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Crossaster borealis,Grooved sun star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Dipsacaster eximius,Extraordinary sand star,Asteroidea (starfishes),US West Coast,West Coast,NA,NA,Not for IDW
Doryteuthis opalescens,California market squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,PFMC,Coastal Pelagic Species,NMFS/Rutgers IDW Interpolation
Dromalia alexandri,Sea dandelion,"Cnidaria (jellyfish, corals, anenomes)",US West Coast,West Coast,NA,NA,Not for IDW
Echidnocerus foraminatus,Brown box crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,NA,NA,NMFS/Rutgers IDW Interpolation
Eopsetta jordani,Petrale sole,Pleuronectiformes (Flatfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish,NMFS/Rutgers IDW Interpolation
Eptatretus deani,Black hagfish,Myxiniformes (Hagfishes),US West Coast,West Coast,NA,NA,Not for IDW
