spp,common,FilterRegion,FilterSubRegion,Taxonomic.Grouping,Management.Body,Management.Plan
Rhizoprionodon terraenovae,Atlantic sharpnose shark,US East Coast,Southeast,Elasmobranchi:Selachi (sharks),Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Rhizoprionodon terraenovae,Atlantic sharpnose shark,US East Coast,Northeast,Elasmobranchi:Selachi (sharks),Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Rhomboplites aurorubens,Vermilion snapper,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",GMFMC,Reef Fish Resources of the Gulf of Mexico
Rossia pacifica,Eastern pacific bobtail,Alaska,Aleutian Islands,"Cephalopoda (squid, octopus)",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Rossia pacifica,Eastern pacific bobtail,US West Coast,West Coast,"Cephalopoda (squid, octopus)",,
Rostroraja eglanteria,Clearnose skate,Gulf of Mexico,Gulf of Mexico,"Elasmobranchi:Batoidea (skates, rays) ",,
Rostroraja eglanteria,Clearnose skate,US East Coast,Southeast,"Elasmobranchi:Batoidea (skates, rays) ",,
Rostroraja eglanteria,Clearnose skate,US East Coast,Northeast,"Elasmobranchi:Batoidea (skates, rays) ",NEFMC,Northeast Skate Complex
Rostroraja texana,Roundel skate,Gulf of Mexico,Gulf of Mexico,"Elasmobranchi:Batoidea (skates, rays) ",,
Sagenaster evermanni,Evermann's star,US West Coast,West Coast,Asteroidea (starfishes) ,,
Sardinella aurita,Spanish sardine,Gulf of Mexico,Gulf of Mexico,"Clupeiformes (Herrings, anchovy, shad)",,
Sarritor frenatus,Sawback poacher,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),,
Sarritor frenatus,Sawback poacher,Alaska,Eastern Bering Sea,Perciformes/Cottoidei (sculpins),,
Saurida brasiliensis,Largescale lizardfish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Saurida normani,Shortjaw lizardfish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Sclerocrangon boreas,Sculptured shrimp,Alaska,Northern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Scomber scombrus,Atlantic mackerel,US East Coast,Northeast,Scombriformes (Mackerels),MAFMC,"Mackerel, Squid and Butterfish"
Scomberomorus cavalla,King mackerel,US East Coast,Southeast,Scombriformes (Mackerels),GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus cavalla,King mackerel,US East Coast,Southeast,Scombriformes (Mackerels),SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus maculatus,Spanish mackerel,US East Coast,Southeast,Scombriformes (Mackerels),ASMFC,Interstate Fishery Management Plan 
Scomberomorus maculatus,Spanish mackerel,US East Coast,Southeast,Scombriformes (Mackerels),GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus maculatus,Spanish mackerel,US East Coast,Southeast,Scombriformes (Mackerels),SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scophthalmus aquosus,Windowpane flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,NEFMC,Northeast Multispecies
Scophthalmus aquosus,Windowpane flounder,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Scorpaena agassizii,Longfin scorpionfish,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Scorpaena brasiliensis,Barbfish,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Scorpaena calcarata,Smoothhead scorpionfish,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Scyllarides nodifer,Ridged slipper lobster,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Scyllarus chacei,Chace slipper lobster,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Sebastes alutus,Pacific ocean perch,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes alutus,Pacific ocean perch,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes alutus,Pacific ocean perch,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes aurora,Aurora rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes babcocki,Redbanded rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes babcocki,Redbanded rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes borealis,Shortraker rockfish,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
