"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"122","Triglops scepticus","Spectacled sculpin","Aleutian Islands","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"123","Zaprora silenus","Prowfish","Aleutian Islands","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"124","Aforia circinata","Keeled aforia","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"125","Anoplopoma fimbria","Sablefish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"126","Aphrodita negligens","Dishevelled sea-mouse","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"127","Aplidium sp. A (Clark 2006)","sea glob","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"128","Arctoraja parmifera","Alaska skate","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"129","Argis dentata","Arctic argid","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"130","Argis lar","Kuro shrimp","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"131","Aspidophoroides monopterygius","Alligatorfish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"132","Asterias amurensis","North pacific seastar","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"133","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"134","Aulacofusus herendeeni","Thin-ribbed whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"135","Aurelia limbata","Brownbranded moon jelly","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"136","Bathymaster signatus","Searcher","Eastern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"137","Bathyraja spp.","Skate complex","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"138","Beringius behringii","Behring's whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"139","Boltenia ovifera","Stalked sea squirt","Eastern Bering Sea","Tunicata (sea squirts, tunicates, salps) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"140","Boreogadus saida","Arctic cod","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"141","Buccinum angulosum","Angular whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"142","Buccinum oedematum","Swollen whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"143","Buccinum plectrum","Sinuous whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"144","Buccinum polare","Polar whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"145","Buccinum scalariforme","Ladder whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"146","Careproctus phasma","Monster snailfish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"147","Careproctus rastrinus","Salmon snailfish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"148","Careproctus scottae","Peachskin snailfish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"149","Careproctus sp. cf. melanurus (Orr et al.)","scorched snailfish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"150","Chionoecetes bairdi","Tanner crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"151","Chionoecetes opilio","Snow crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"152","Chrysaora melanaster",NA,"Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"153","Ciliatocardium ciliatum","Hairy cockle","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"154","Clinopegma magnum","Helmet whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"155","Clupea pallasii","Pacific herring","Eastern Bering Sea","Clupeiformes (Herrings, anchovy, shad)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
