"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"911","Symphurus plagiusa","Blackcheek tonguefish","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"912","Synodus foetens","Inshore lizardfish","Southeast","Aulopiformes (Grinners, lizardfish)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"913","Trachinotus carolinus","Florida pompano","Southeast","Carangiformes (Jacks)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"914","Trichiurus lepturus","Atlantic cutlassfish","Southeast","Scombriformes (Mackerels)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"915","Trinectes maculatus","Hogchoker","Southeast","Pleuronectiformes (Flatfishes) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"916","Urophycis earllii","Carolina hake","Southeast",NA,NA,NA,NA,"Not for IDW"
"917","Xiphopenaeus kroyeri","Atlantic seabob","Southeast","Decapoda (Crabs/Lobster/Shrimp)","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"918","Alopias vulpinus","Thresher","Southeast",NA,NA,NA,NA,"Not for IDW"
"919","Cancer irroratus","Atlantic rock crab","Southeast",NA,NA,NA,NA,"Not for IDW"
"920","Carcharias taurus","Sand tiger shark","Southeast",NA,NA,NA,NA,"Not for IDW"
"921","Etrumeus sadina","Round herring","Southeast",NA,NA,NA,NA,"Not for IDW"
"922","Mustelus canis","Smooth dogfish","Southeast","Elasmobranchi:Selachi (sharks)","US East Coast","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","NMFS/Rutgers IDW Interpolation"
"923","Oligoplites saurus","Leatherjacket","Southeast",NA,NA,NA,NA,"Not for IDW"
"924","Ophidion marginatum","Striped cusk-eel","Southeast",NA,NA,NA,NA,"Not for IDW"
"925","Sicyonia brevirostris","Brown rock shrimp","Southeast",NA,NA,NA,NA,"Not for IDW"
"926","Squalus acanthias","Spiny dogfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"927","Squatina dumeril","Sand devil","Southeast",NA,NA,NA,NA,"Not for IDW"
"928","Syngnathus louisianae","Chain pipefish","Southeast",NA,NA,NA,NA,"Not for IDW"
"929","Trachurus lathami","Rough scad","Southeast",NA,NA,NA,NA,"Not for IDW"
"930","Upeneus parvus","Dwarf goatfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"931","Urophycis floridana","Southern hake","Southeast",NA,NA,NA,NA,"Not for IDW"
"932","Urophycis regia","Spotted hake","Southeast","Gadiformes (Cods, genadiers, pollock) ","US East Coast","","","NMFS/Rutgers IDW Interpolation"
"933","Alectis ciliaris","African pompano","Southeast",NA,NA,NA,NA,"Not for IDW"
"934","Carcharhinus brevipinna","Spinner shark","Southeast",NA,NA,NA,NA,"Not for IDW"
"935","Gobiosoma bosc","Naked goby","Southeast",NA,NA,NA,NA,"Not for IDW"
"936","Haemulon aurolineatum","Tomtate grunt","Southeast",NA,NA,NA,NA,"Not for IDW"
"937","Hypleurochilus geminatus","Crested blenny","Southeast",NA,NA,NA,NA,"Not for IDW"
"938","Opsanus tau","Oyster toadfish","Southeast",NA,NA,NA,NA,"Not for IDW"
"939","Paralichthys squamilentus","Broad flounder","Southeast",NA,NA,NA,NA,"Not for IDW"
"940","Petrochirus diogenes","Giant hermit","Southeast",NA,NA,NA,NA,"Not for IDW"
"941","Porichthys plectrodon","Atlantic midshipman","Southeast",NA,NA,NA,NA,"Not for IDW"
"942","Actinauge verrillii","Reticulate anemone","West Coast","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"943","Actinostola faeculenta","Hobnail vase anemone","West Coast","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"944","Albatrossia pectoralis","Giant grenadier","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"945","Alepocephalus tenebrosus","California slickhead","West Coast","Alepocephaliformes (Slickheads and tubeshoulders.)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"946","Alosa sapidissima","American shad","West Coast","Clupeiformes (Herrings, anchovy, shad)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"947","Ampheraster marianus","Mariana's island star","West Coast",NA,NA,NA,NA,"Not for IDW"
"948","Anoplopoma fimbria","Sablefish","West Coast","Perciformes/Cottoidei (sculpins)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"949","Anthopleura xanthogrammica","Giant green anemone","West Coast",NA,NA,NA,NA,"Not for IDW"
"950","Anthoptilum grandiflorum","Feather boa sea pen","West Coast","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"951","Antimora microlepis","Finescale mora","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"952","Aphrocallistes vastus","Cloud sponge","West Coast",NA,NA,NA,NA,"Not for IDW"
"953","Apostichopus californicus","Giant california sea cucumber","West Coast","Holothuroidea (sea cucumbers)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"954","Apostichopus leukothele","White-knobbed sea cucumber","West Coast","Holothuroidea (sea cucumbers)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"955","Apristurus brunneus","Brown catshark","West Coast","Elasmobranchi:Selachi (sharks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"956","Astropecten californicus","California sand star","West Coast",NA,NA,NA,NA,"Not for IDW"
"957","Atheresthes stomias","Arrowtooth flounder","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"958","Bathyagonus nigripinnis","Blackfin poacher","West Coast",NA,NA,NA,NA,"Not for IDW"
"959","Bathybembix bairdii",NA,"West Coast",NA,NA,NA,NA,"Not for IDW"
"960","Bathyraja spp.","Skate complex","West Coast","Elasmobranchi:Batoidea (skates, rays) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"961","Beringraja binoculata","Big skate","West Coast","Elasmobranchi:Batoidea (skates, rays) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"962","Beringraja inornata","California skate","West Coast","Elasmobranchi:Batoidea (skates, rays) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"963","Beringraja rhina","Longnose skate","West Coast","Elasmobranchi:Batoidea (skates, rays) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"964","Beringraja stellulata","Starry skate","West Coast",NA,NA,NA,NA,"Not for IDW"
"965","Bothrocara brunneum","Twoline eelpout","West Coast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"966","Brisaster latifrons","Northern heart urchin","West Coast","Echinoidea (sea urchins, sand dollars) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"967","Brissopsis pacifica","Pacific heart urchin","West Coast",NA,NA,NA,NA,"Not for IDW"
"968","Cancer productus","Red rock crab","West Coast",NA,NA,NA,NA,"Not for IDW"
"969","Careproctus melanurus","Blacktail snailfish","West Coast","Perciformes/Cottoidei (sculpins)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"970","Chauliodus macouni","Pacific viperfish","West Coast","Stomiiformes (Lightfishes and dragonfishes)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"971","Chionoecetes tanneri","Grooved tanner crab","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"972","Chorilia longipes","Longhorn decorator crab","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"973","Citharichthys sordidus","Pacific sanddab","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"974","Clupea pallasii","Pacific herring","West Coast","Clupeiformes (Herrings, anchovy, shad)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"975","Coryphaenoides acrolepis","Pacific grenadier","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"976","Crossaster borealis","Grooved sun star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"977","Dipsacaster eximius","Extraordinary sand star","West Coast",NA,NA,NA,NA,"Not for IDW"
"978","Doryteuthis opalescens","California market squid","West Coast","Cephalopoda (squid, octopus)","US West Coast","PFMC","Coastal Pelagic Species","NMFS/Rutgers IDW Interpolation"
"979","Dromalia alexandri","Sea dandelion","West Coast",NA,NA,NA,NA,"Not for IDW"
"980","Echidnocerus foraminatus","Brown box crab","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"981","Eopsetta jordani","Petrale sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"982","Eptatretus deani","Black hagfish","West Coast",NA,NA,NA,NA,"Not for IDW"
"983","Eptatretus stoutii","Pacific hagfish","West Coast",NA,NA,NA,NA,"Not for IDW"
"984","Eualus macrophthalmus","Big eyed shrimp","West Coast",NA,NA,NA,NA,"Not for IDW"
"985","Gadus macrocephalus","Pacific cod","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"986","Genyonemus lineatus","White croaker","West Coast","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"987","Glyptocephalus zachirus","Rex sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"988","Gonatus onyx","Clawed armhook squid","West Coast",NA,NA,NA,NA,"Not for IDW"
"989","Gorgonocephalus eucnemis","Basket star","West Coast","Ophiuroidea (brittle stars)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"990","Grimothea planipes","Pelagic red crab","West Coast",NA,NA,NA,NA,"Not for IDW"
"991","Heterozonias alternatus","Canonball sun star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"992","Hippasteria californica","Californian spiny star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"993","Hippasteria phrygiana","Arctic cushion star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"994","Hippoglossina stomata","Bigmouth flounder","West Coast",NA,NA,NA,NA,"Not for IDW"
"995","Hippoglossoides elassodon","Flathead sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"996","Hippoglossus stenolepis","Pacific halibut","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Species Managed Under International Agreement - IPHC","NMFS/Rutgers IDW Interpolation"
"997","Histioteuthis heteropsis",NA,"West Coast",NA,NA,NA,NA,"Not for IDW"
"998","Hydrolagus colliei","Spotted ratfish","West Coast","Chimaeriformes (Chimaeras)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"999","Icelinus filamentosus","Threadfin sculpin","West Coast","Perciformes/Cottoidei (sculpins)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1000","Lepidopsetta sp.","Rock soles","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1001","Liponema brevicorne","Tentacle shedding anemone","West Coast","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1002","Lithodes couesi","Scarlet king crab","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1003","Luidia foliolata","Gray sand star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1004","Lycenchelys crotalinus","Snakehead eelpout","West Coast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1005","Lycodes cortezianus","Bigfin eelpout","West Coast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1006","Lycodes diapterus","Black eelpout","West Coast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1007","Lycodes pacificus","Blackbelly eelpout","West Coast","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1008","Lyopsetta exilis","Slender sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1009","Mediaster aequalis","Vermillion star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1010","Merluccius productus","Pacific hake","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1011","Metacarcinus magister","Dungeness crab","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1012","Metridium farcimen","Giant plumose anemone","West Coast","Cnidaria (jellyfish, corals, anenomes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1013","Microgadus proximus","Pacific tomcod","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1014","Microstomus bathybius","Deep-sea sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1015","Microstomus pacificus","Dover sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1016","Molpadia intermedia","Sweet potato sea cucumber","West Coast","Holothuroidea (sea cucumbers)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1017","Myxoderma platyacanthum",NA,"West Coast",NA,NA,NA,NA,"Not for IDW"
"1018","Myxoderma sacculatum","Giant slimy star","West Coast",NA,NA,NA,NA,"Not for IDW"
"1019","Nearchaster (Nearchaster) aciculosus","Needle spined fragile star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1020","Neptunea amianta","White neptune","West Coast",NA,NA,NA,NA,"Not for IDW"
"1021","Nezumia liolepis","Smooth grenadier","West Coast",NA,NA,NA,NA,"Not for IDW"
"1022","Nezumia stelgidolepis","California grenadier","West Coast","Gadiformes (Cods, genadiers, pollock) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1023","Octopoteuthis deletron","Octopus squid","West Coast","Cephalopoda (squid, octopus)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1024","Octopus californicus","North pacific bigeye octopus","West Coast",NA,NA,NA,NA,"Not for IDW"
"1025","Ophiodon elongatus","Lingcod","West Coast","Perciformes/Cottoidei (sculpins)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1026","Ophiura sarsii","Notched brittle star","West Coast",NA,NA,NA,NA,"Not for IDW"
"1027","Opisthoteuthis californiana","Flapjack octopus","West Coast","Cephalopoda (squid, octopus)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1028","Pandalus amplus","Deepwater bigeye","West Coast",NA,NA,NA,NA,"Not for IDW"
"1029","Pandalus jordani","Ocean shrimp","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1030","Pandalus platyceros","Spot shrimp","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1031","Pannychia moseleyi","Deep sea papillate cucumber","West Coast",NA,NA,NA,NA,"Not for IDW"
"1032","Paralomis multispina","Many spine spider crab","West Coast",NA,NA,NA,NA,"Not for IDW"
"1033","Parmaturus xaniurus","Filetail catshark","West Coast","Elasmobranchi:Selachi (sharks)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1034","Parophrys vetulus","English sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1035","Pasiphaea pacifica","Pacific glass shrimp","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1036","Pasiphaea tarda","Crimson pasiphaeid","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1037","Peprilus simillimus","Pacific pompano","West Coast",NA,NA,NA,NA,"Not for IDW"
"1038","Periphylla periphylla","Merchant cap","West Coast",NA,NA,NA,NA,"Not for IDW"
"1039","Pisaster brevispinus","Giant pink sea star","West Coast",NA,NA,NA,NA,"Not for IDW"
"1040","Platymera gaudichaudii","Armed box crab","West Coast","Decapoda (Crabs/Lobster/Shrimp)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1041","Pleurobranchaea californica",NA,"West Coast",NA,NA,NA,NA,"Not for IDW"
"1042","Pleuronichthys decurrens","Curlfin sole","West Coast","Pleuronectiformes (Flatfishes) ","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1043","Pleuronichthys verticalis","Hornyhead turbot","West Coast",NA,NA,NA,NA,"Not for IDW"
"1044","Porichthys notatus","Plainfin midshipman","West Coast","Batrachoidiformes (Toadfishes)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1045","Pseudostichopus mollis","Sandy sea cucumber","West Coast","Holothuroidea (sea cucumbers)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1046","Pteraster jordani","Jordan's cushion star","West Coast",NA,NA,NA,NA,"Not for IDW"
"1047","Pycnopodia helianthoides","Sunflower sea star","West Coast",NA,NA,NA,NA,"Not for IDW"
"1048","Pyrosoma atlanticum",NA,"West Coast",NA,NA,NA,NA,"Not for IDW"
"1049","Rathbunaster californicus","California sun star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1050","Rossia pacifica","Eastern pacific bobtail","West Coast","Cephalopoda (squid, octopus)","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1051","Sagenaster evermanni","Evermann's star","West Coast","Asteroidea (starfishes) ","US West Coast","","","NMFS/Rutgers IDW Interpolation"
"1052","Sebastes alutus","Pacific ocean perch","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1053","Sebastes aurora","Aurora rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1054","Sebastes babcocki","Redbanded rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1055","Sebastes chlorostictus","Greenspotted rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1056","Sebastes crameri","Darkblotched rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1057","Sebastes diploproa","Splitnose rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1058","Sebastes elongatus","Greenstriped rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1059","Sebastes entomelas","Widow rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
"1060","Sebastes flavidus","Yellowtail rockfish","West Coast","Perciformes/Scorpaenoidei (Scorpionfishes)","US West Coast","PFMC","Pacific Coast Groundfish","NMFS/Rutgers IDW Interpolation"
